aspect,id,sentiment,target,text
price,34.0,Positive,LOCATION1,Somewhere like LOCATION1 ( particularly south ) is very good value for money in central London
shopping,34.0,Positive,LOCATION1,Somewhere like LOCATION1 ( particularly south ) is very good value for money in central London
touristy,34.0,Positive,LOCATION1,Somewhere like LOCATION1 ( particularly south ) is very good value for money in central London
price,35.0,Negative,LOCATION1,"LOCATION1 area , it 's a bit expensive"
general,37.0,Positive,LOCATION1,"try to live on the LOCATION1 , its got a better atmosphere and is much cleaner"
price,39.0,Negative,LOCATION1,LOCATION1 is pricey My friends and I want to live in London
shopping,39.0,Negative,LOCATION1,LOCATION1 is pricey My friends and I want to live in London
general,42.0,Positive,LOCATION1,"LOCATION1 ( near by ) is my fave one in London ~ some vintage , some handmade , new designers , weird stuff ~ its brilliant"
general,45.0,Negative,LOCATION1,My friend lives in West LOCATION1 and it ; s hell
general,46.0,Negative,LOCATION1,"I went to LOCATION1 honest to god , I did n't like the area at all"
transit-location,47.0,Positive,LOCATION1,It 's on LOCATION1 which is walking distance to the victoria Line
shopping,48.0,Positive,LOCATION1,"Another place to consider is LOCATION1 - it 's got some lovely areas , it 's on the river , there are some great independent shops , there are good restaurants and cafes and a great market"
general,48.0,Positive,LOCATION1,"Another place to consider is LOCATION1 - it 's got some lovely areas , it 's on the river , there are some great independent shops , there are good restaurants and cafes and a great market"
general,49.0,Positive,LOCATION1,LOCATION1 area is cool
general,52.0,Negative,LOCATION1,LOCATION1 which is a craphole keep clear
general,56.0,Positive,LOCATION1,LOCATION1 is just heaven
safety,58.0,Positive,LOCATION1,LOCATION1 will be close to central London and safer too
transit-location,58.0,Positive,LOCATION1,LOCATION1 will be close to central London and safer too
quiet,58.0,Positive,LOCATION1,LOCATION1 will be close to central London and safer too
touristy,58.0,Positive,LOCATION1,LOCATION1 will be close to central London and safer too
price,60.0,Negative,LOCATION1,LOCATION1 is good and very close alas almost as expensive
transit-location,60.0,Positive,LOCATION1,LOCATION1 is good and very close alas almost as expensive
general,60.0,Positive,LOCATION1,LOCATION1 is good and very close alas almost as expensive
shopping,60.0,Negative,LOCATION1,LOCATION1 is good and very close alas almost as expensive
general,63.0,Positive,LOCATION1,You will be fine in LOCATION1 as long as you use your common sense
general,67.0,Negative,LOCATION1,LOCATION1 was one of the worst areas I experienced My only thought on it is poor does n't necessarily equate to rough
safety,67.0,Negative,LOCATION1,LOCATION1 was one of the worst areas I experienced My only thought on it is poor does n't necessarily equate to rough
safety,71.0,Positive,LOCATION1,LOCATION1 is relatively well priced and is quite safe no problem there
price,71.0,Positive,LOCATION1,LOCATION1 is relatively well priced and is quite safe no problem there
shopping,71.0,Positive,LOCATION1,LOCATION1 is relatively well priced and is quite safe no problem there
touristy,71.0,Positive,LOCATION1,LOCATION1 is relatively well priced and is quite safe no problem there
general,73.0,Positive,LOCATION1,"LOCATION1 is generally considered the nicest , cleanest and safest part s"
safety,73.0,Positive,LOCATION1,"LOCATION1 is generally considered the nicest , cleanest and safest part s"
green-nature,73.0,Positive,LOCATION1,"LOCATION1 is generally considered the nicest , cleanest and safest part s"
general,75.0,Positive,LOCATION1,"You could try looking at an area like LOCATION1 , it 's nice , quite young , has nice restaurants etc but is slightly cheaper"
price,75.0,Positive,LOCATION1,"You could try looking at an area like LOCATION1 , it 's nice , quite young , has nice restaurants etc but is slightly cheaper"
shopping,75.0,Positive,LOCATION1,"You could try looking at an area like LOCATION1 , it 's nice , quite young , has nice restaurants etc but is slightly cheaper"
general,76.0,Negative,LOCATION1,"There are several estates not to far away , well in the LOCATION1 area which really are n't very nice"
safety,77.0,Negative,LOCATION1,"LOCATION1 can be pretty rough , but then you can not guarantee safety anywhere , just be sensible and do n't go anywhere that is not lit properly , stay where there are lots of people and do n't get into any arguments , you 'll be as safe there as anywhere"
general,80.0,Positive,LOCATION1,"I used to live on Gloucester road which was lovely , not so loud and a really cool , relaxed atmosphere LOCATION1 is wonderful you will like it there only minutes from London and more affordable lots of art in bath"
price,80.0,Positive,LOCATION1,"I used to live on Gloucester road which was lovely , not so loud and a really cool , relaxed atmosphere LOCATION1 is wonderful you will like it there only minutes from London and more affordable lots of art in bath"
quiet,80.0,Positive,LOCATION1,"I used to live on Gloucester road which was lovely , not so loud and a really cool , relaxed atmosphere LOCATION1 is wonderful you will like it there only minutes from London and more affordable lots of art in bath"
shopping,80.0,Positive,LOCATION1,"I used to live on Gloucester road which was lovely , not so loud and a really cool , relaxed atmosphere LOCATION1 is wonderful you will like it there only minutes from London and more affordable lots of art in bath"
nightlife,81.0,Positive,LOCATION1,LOCATION1 would probably be your best bet as it 's close to the east end so there are lots of bars and clubs
general,81.0,Positive,LOCATION1,LOCATION1 would probably be your best bet as it 's close to the east end so there are lots of bars and clubs
transit-location,81.0,Positive,LOCATION1,LOCATION1 would probably be your best bet as it 's close to the east end so there are lots of bars and clubs
general,84.0,Positive,LOCATION1,I hear LOCATION1 is nice
price,89.0,Negative,LOCATION1,"I would say LOCATION1 is quite safe , a lot of very wealthy people living there"
safety,89.0,Positive,LOCATION1,"I would say LOCATION1 is quite safe , a lot of very wealthy people living there"
general,90.0,Positive,LOCATION1,I really enjoy the LOCATION1 area Lisa
general,92.0,Positive,LOCATION1,I 've lived in LOCATION2/LOCATION1 area for about a year now and I absolutely love it here
general,92.0,Positive,LOCATION1,I 've lived in LOCATION2/LOCATION1 area for about a year now and I absolutely love it here
price,93.0,Negative,LOCATION1,You can not google an abstract concept LOCATION1 is one of the more expensive areas in town
general,94.0,Negative,LOCATION1,"Just watch out for LOCATION1 , thats a no-go"
safety,96.0,Negative,LOCATION1,LOCATION1 is really rough
transit-location,97.0,Positive,LOCATION1,LOCATION1 used to have an underground but the East London Line is being refurbished and it is buses for the next few years
transit-location,98.0,Positive,LOCATION1,LOCATION1 is a ordinary sort of suburban area about 10 miles from Central London with many commuters living in it
transit-location,100.0,Positive,LOCATION1,"There are good bus and train routes around , and several trams stops to get you quickly into LOCATION1 for shopping and main station"
shopping,100.0,Positive,LOCATION1,"There are good bus and train routes around , and several trams stops to get you quickly into LOCATION1 for shopping and main station"
price,102.0,Negative,LOCATION1,The LOCATION1 have been gradually tarted up over the years and there 's lots of expensive new apartments and all that
general,102.0,Negative,LOCATION1,The LOCATION1 have been gradually tarted up over the years and there 's lots of expensive new apartments and all that
general,103.0,Negative,LOCATION1,LOCATION1 is n't great
safety,104.0,Negative,LOCATION1,"It actually shows that the most `` dangerous '' area is probably the area you immediately think of when you think of London , LOCATION1"
transit-location,106.0,Positive,LOCATION1,"LOCATION1 is a very nice and safe area with hostels , it is about ten miles from the centre but the train can take you in in twenty minutes Well Jessy , it seems interesting to me that you 're willing to leave what you kept insisting is the best place in the world"
general,106.0,Positive,LOCATION1,"LOCATION1 is a very nice and safe area with hostels , it is about ten miles from the centre but the train can take you in in twenty minutes Well Jessy , it seems interesting to me that you 're willing to leave what you kept insisting is the best place in the world"
safety,106.0,Positive,LOCATION1,"LOCATION1 is a very nice and safe area with hostels , it is about ten miles from the centre but the train can take you in in twenty minutes Well Jessy , it seems interesting to me that you 're willing to leave what you kept insisting is the best place in the world"
transit-location,109.0,Positive,LOCATION1,"LOCATION1 is not the best shopping street in London , but there are good transport links to the rest of London"
shopping,109.0,Positive,LOCATION1,"LOCATION1 is not the best shopping street in London , but there are good transport links to the rest of London"
touristy,109.0,Positive,LOCATION1,"LOCATION1 is not the best shopping street in London , but there are good transport links to the rest of London"
general,111.0,Positive,LOCATION1,LOCATION1 is one of the nicest London Boroughs
general,112.0,Negative,LOCATION1,"I lived in LOCATION1 and it wasnt the best but the public transport in LOCATION2 is the best You have a Tube station , a British rail station and a bus interchange"
transit-location,112.0,Positive,LOCATION1,"I lived in LOCATION1 and it wasnt the best but the public transport in LOCATION2 is the best You have a Tube station , a British rail station and a bus interchange"
transit-location,112.0,Positive,LOCATION1,"I lived in LOCATION1 and it wasnt the best but the public transport in LOCATION2 is the best You have a Tube station , a British rail station and a bus interchange"
general,113.0,Positive,LOCATION1,There are some great places in LOCATION1 which has a large Indian population ( It 's known as Little India and some of the street signs are in Indian too
general,114.0,Negative,LOCATION1,"Renting is a sensible option , especially if your time horizon is only five years LOCATION1 is a horrible area"
price,114.0,Negative,LOCATION1,"Renting is a sensible option , especially if your time horizon is only five years LOCATION1 is a horrible area"
safety,115.0,Negative,LOCATION1,I have heard from some friends that LOCATION1 and places nearby are quite dangerous to live in due to the high criminal cases
general,116.0,Positive,LOCATION1,"They 're called ` Northwoods ' : LOCATION1 has quite nice areas to it , and good transport links"
transit-location,116.0,Positive,LOCATION1,"They 're called ` Northwoods ' : LOCATION1 has quite nice areas to it , and good transport links"
quiet,116.0,Positive,LOCATION1,"They 're called ` Northwoods ' : LOCATION1 has quite nice areas to it , and good transport links"
shopping,116.0,Positive,LOCATION1,"They 're called ` Northwoods ' : LOCATION1 has quite nice areas to it , and good transport links"
touristy,116.0,Positive,LOCATION1,"They 're called ` Northwoods ' : LOCATION1 has quite nice areas to it , and good transport links"
safety,117.0,Negative,LOCATION1,Being close too LOCATION1 never safe
transit-location,118.0,Positive,LOCATION1,"To compare the Greater London suburbs with urban areas in France , LOCATION2 is more similar to French suburbs than LOCATION1 is , due to the higher density of housing and also the tram lines running through the town"
transit-location,119.0,Positive,LOCATION1,There will be Underground stations in LOCATION1 in the next few years
price,120.0,Negative,LOCATION1,Areas in Essex such as LOCATION1 are quite affluent but would be considered by many to be more of a 'new money ' crowd
price,121.0,Negative,LOCATION1,"LOCATION1 is pricey I 'm moving from London , UK to Toronto next year and would like to live in a comparable neighbourhood"
general,122.0,Positive,LOCATION1,I lived in LOCATION1 for 10 years in the 1990s ; it is the most genuinely suburban and very attractive
multicultural,122.0,Positive,LOCATION1,I lived in LOCATION1 for 10 years in the 1990s ; it is the most genuinely suburban and very attractive
green-nature,122.0,Positive,LOCATION1,I lived in LOCATION1 for 10 years in the 1990s ; it is the most genuinely suburban and very attractive
safety,125.0,Positive,LOCATION1,The area round LOCATION1 Station is quite safe as long as you 're sensible
general,126.0,Positive,LOCATION1,LOCATION1 is beautiful EDIT : SS has a valid point
transit-location,131.0,Positive,LOCATION1,"Another good place to consider is LOCATION1 as there are many shops and a few clubs , and it is situated on the central line so only a few stops from central London and hotspots such as Oxford Street"
general,131.0,Positive,LOCATION1,"Another good place to consider is LOCATION1 as there are many shops and a few clubs , and it is situated on the central line so only a few stops from central London and hotspots such as Oxford Street"
general,132.0,Positive,LOCATION1,"LOCATION1 ( NW1 ) is ok , but beware of certain council blocks which do have a reputation"
price,133.0,Positive,LOCATION1,LOCATION1 itself is no more expensive than LOCATION2
price,135.0,Negative,LOCATION1,LOCATION1 area is fairly central so it is expensive
transit-location,135.0,Positive,LOCATION1,LOCATION1 area is fairly central so it is expensive
shopping,135.0,Positive,LOCATION1,LOCATION1 area is fairly central so it is expensive
touristy,135.0,Positive,LOCATION1,LOCATION1 area is fairly central so it is expensive
general,136.0,Positive,LOCATION1,there are some parts of LOCATION1 that are nice and VERY quiet
quiet,136.0,Positive,LOCATION1,there are some parts of LOCATION1 that are nice and VERY quiet
safety,137.0,Positive,LOCATION1,I live in LOCATION1 and it has been voted one of the safest in London
general,138.0,Positive,LOCATION1,LOCATION1 area is very good
transit-location,139.0,Positive,LOCATION1,LOCATION1 is not far
general,140.0,Positive,LOCATION1,"I have lived in south London for a while and adored going to LOCATION1 , one of the most vibrant place in the London"
general,141.0,Negative,LOCATION1,LOCATION1 is rubbish at the mo because the Olympics are causing disruption already with loads of building work
general,142.0,Positive,LOCATION1,"Also SE is LOCATION1 , that is pretty up and coming"
shopping,143.0,Positive,LOCATION1,"if you 've got the opportunity for cheap or free accommodation there , then go for it LOCATION1 is not necessarily the most sought-after area of London , it has got a very high south Asian population and loads of shops"
price,143.0,Positive,LOCATION1,"if you 've got the opportunity for cheap or free accommodation there , then go for it LOCATION1 is not necessarily the most sought-after area of London , it has got a very high south Asian population and loads of shops"
touristy,143.0,Positive,LOCATION1,"if you 've got the opportunity for cheap or free accommodation there , then go for it LOCATION1 is not necessarily the most sought-after area of London , it has got a very high south Asian population and loads of shops"
transit-location,144.0,Positive,LOCATION1,"London LOCATION2 Airport has a dedicated rail line to LOCATION1 Rail Station , and The Piccadilly line on the 'tube ' also goes to the Airport , that 's going to be the most easy way , it also has a bus service but I have never used it"
transit-location,144.0,Positive,LOCATION1,"London LOCATION2 Airport has a dedicated rail line to LOCATION1 Rail Station , and The Piccadilly line on the 'tube ' also goes to the Airport , that 's going to be the most easy way , it also has a bus service but I have never used it"
transit-location,147.0,Positive,LOCATION1,"LOCATION1 has great transport links , i work in LOCATION1 and its 25mins door to door"
shopping,148.0,Positive,LOCATION1,"LOCATION1 is on the up , with Westfield and the Olympic Park new to the area it has seen regeneration"
general,151.0,Positive,LOCATION1,LOCATION1 ( Location- West ) -A quiet leafy suburb with some upmarket bars and pubs
transit-location,152.0,Negative,LOCATION1,"It is about 440 miles this way ; not necessarily the most direct route , but decidedly the quickest After joining the M40 at LOCATION1 , the next urban area is Sighthill in Edinburgh"
safety,153.0,Positive,LOCATION1,LOCATION1 is in Greater London and is a very safe place
price,154.0,Negative,LOCATION1,LOCATION1 is the place for you It all depends how much you want to pay for your house
general,155.0,Positive,LOCATION1,I also love LOCATION1 ; LOCATION1 may still have some areas where you might find something
general,156.0,Negative,LOCATION1,You can always live in the skanky areas like LOCATION1
general,157.0,Positive,LOCATION1,"In fact you do n't live too far from where my boyfriend lives LOCATION1 is inbetween , its nice because its close to the thames , and very central"
transit-location,157.0,Positive,LOCATION1,"In fact you do n't live too far from where my boyfriend lives LOCATION1 is inbetween , its nice because its close to the thames , and very central"
quiet,157.0,Positive,LOCATION1,"In fact you do n't live too far from where my boyfriend lives LOCATION1 is inbetween , its nice because its close to the thames , and very central"
shopping,157.0,Positive,LOCATION1,"In fact you do n't live too far from where my boyfriend lives LOCATION1 is inbetween , its nice because its close to the thames , and very central"
touristy,157.0,Positive,LOCATION1,"In fact you do n't live too far from where my boyfriend lives LOCATION1 is inbetween , its nice because its close to the thames , and very central"
transit-location,158.0,Positive,LOCATION1,LOCATION1 is also very leafy ( Hampstead Heath ) Everywhere in London has excellent public transport
touristy,158.0,Positive,LOCATION1,LOCATION1 is also very leafy ( Hampstead Heath ) Everywhere in London has excellent public transport
general,159.0,Positive,LOCATION1,"My favourite place is LOCATION1 , despite living in LOCATION1 now"
general,160.0,Positive,LOCATION1,My final recommendation would have to be LOCATION1
transit-location,161.0,Positive,LOCATION1,"I would feel fine transport wise LOCATION1 is brilliant two tube lines , rail lines , loads of buses from there you can get to just about anywhere in London easily"
quiet,161.0,Positive,LOCATION1,"I would feel fine transport wise LOCATION1 is brilliant two tube lines , rail lines , loads of buses from there you can get to just about anywhere in London easily"
shopping,161.0,Positive,LOCATION1,"I would feel fine transport wise LOCATION1 is brilliant two tube lines , rail lines , loads of buses from there you can get to just about anywhere in London easily"
touristy,161.0,Positive,LOCATION1,"I would feel fine transport wise LOCATION1 is brilliant two tube lines , rail lines , loads of buses from there you can get to just about anywhere in London easily"
safety,162.0,Positive,LOCATION1,"( However , I walk to LOCATION1 station after 9.30 every week and have never had a problem )"
general,164.0,Negative,LOCATION1,"i 'd say look around LOCATION1 , but stay away from them suburbs and tower blocks"
general,166.0,Positive,LOCATION1,all in all LOCATION1 is a good choice
general,167.0,Positive,LOCATION1,LOCATION1 is in my opinion is alot nicer than LOCATION1
price,168.0,Positive,LOCATION1,A more affordable option would be LOCATION1
shopping,168.0,Positive,LOCATION1,A more affordable option would be LOCATION1
transit-location,171.0,Positive,LOCATION1,"LOCATION1 is a better area , nice business buildings and beautiful residential houses , good people live there , much easier for transport than LOCATION1"
general,171.0,Positive,LOCATION1,"LOCATION1 is a better area , nice business buildings and beautiful residential houses , good people live there , much easier for transport than LOCATION1"
touristy,171.0,Positive,LOCATION1,"LOCATION1 is a better area , nice business buildings and beautiful residential houses , good people live there , much easier for transport than LOCATION1"
safety,173.0,Negative,LOCATION1,"i would avoid walking through LOCATION1 high street on ur own at night , and i would avoid any odd looking alleyways"
transit-location,174.0,Positive,LOCATION1,"Yes , LOCATION1 's pretty central , and easy to get into LOCATION1 from there"
quiet,174.0,Positive,LOCATION1,"Yes , LOCATION1 's pretty central , and easy to get into LOCATION1 from there"
shopping,174.0,Positive,LOCATION1,"Yes , LOCATION1 's pretty central , and easy to get into LOCATION1 from there"
touristy,174.0,Positive,LOCATION1,"Yes , LOCATION1 's pretty central , and easy to get into LOCATION1 from there"
price,178.0,Positive,LOCATION1,Holiday Inn in LOCATION1 is good if they are running a cheaper tourist deal which they do sometimes
shopping,178.0,Positive,LOCATION1,Holiday Inn in LOCATION1 is good if they are running a cheaper tourist deal which they do sometimes
touristy,178.0,Positive,LOCATION1,Holiday Inn in LOCATION1 is good if they are running a cheaper tourist deal which they do sometimes
safety,181.0,Negative,LOCATION1,"Just up to road in LOCATION1 is plain dangerous , I myself was mugged with a knife there once , and I would thoroughly discourage you to look for anything there"
transit-location,184.0,Positive,LOCATION1,LOCATION1 residential area but easy to commute into central London
quiet,184.0,Positive,LOCATION1,LOCATION1 residential area but easy to commute into central London
shopping,184.0,Positive,LOCATION1,LOCATION1 residential area but easy to commute into central London
touristy,184.0,Positive,LOCATION1,LOCATION1 residential area but easy to commute into central London
general,187.0,Positive,LOCATION1,"LOCATION1 nice area , consequently VERY expensive"
price,187.0,Negative,LOCATION1,"LOCATION1 nice area , consequently VERY expensive"
general,189.0,Negative,LOCATION1,I lived in the heart of LOCATION1 and never felt safer - it just looked ugly
safety,189.0,Negative,LOCATION1,I lived in the heart of LOCATION1 and never felt safer - it just looked ugly
price,191.0,Negative,LOCATION1,but i would say now-days that LOCATION1 is not too bad I would n't move there because local prices will rocket when they finally get round to finishing the Olympic village
general,191.0,Positive,LOCATION1,but i would say now-days that LOCATION1 is not too bad I would n't move there because local prices will rocket when they finally get round to finishing the Olympic village
transit-location,192.0,Negative,LOCATION1,"If you do n't mind about a fairly lengthy train commute , it would be lovely to live on the LOCATION1"
safety,195.0,Positive,LOCATION1,LOCATION1 and the surrounding area is one of the safest areas of Greater London
price,196.0,Negative,LOCATION1,LOCATION1 is pricey
shopping,196.0,Negative,LOCATION1,LOCATION1 is pricey
touristy,196.0,Negative,LOCATION1,LOCATION1 is pricey
general,197.0,Positive,LOCATION1,"LOCATION1 is one of the most exciting areas in London and we expect you will spend quite a bit of time exploring its attractions ( and perhaps , shopping )"
general,198.0,Positive,LOCATION1,LOCATION1 is nice
general,199.0,Negative,LOCATION1,The worst area is LOCATION1 and you 're not going there so it 'll be ok
price,200.0,Negative,LOCATION1,I 'm sure you can probably find a house or flat share or look in neighbouring areas if it 's out of your price range LOCATION1 is a great area to live in and it is expensive
price,201.0,Negative,LOCATION1,LOCATION1 and surrounding streets are the most expensive to live in
general,202.0,Positive,LOCATION1,"LOCATION1 just south of LOCATION1 is nice too , but probably on the expensive side"
price,202.0,Negative,LOCATION1,"LOCATION1 just south of LOCATION1 is nice too , but probably on the expensive side"
transit-location,203.0,Positive,LOCATION1,I have been based in a apartment by LOCATION1 for a few months no trouble convenient location
safety,203.0,Positive,LOCATION1,I have been based in a apartment by LOCATION1 for a few months no trouble convenient location
quiet,203.0,Positive,LOCATION1,I have been based in a apartment by LOCATION1 for a few months no trouble convenient location
touristy,203.0,Positive,LOCATION1,I have been based in a apartment by LOCATION1 for a few months no trouble convenient location
price,204.0,Negative,LOCATION1,"And West , plenty of ( rich ) people live in LOCATION1 and LOCATION2 London and Greater London are different names for the exact same area"
general,206.0,Positive,LOCATION1,"LOCATION1 is fine - plenty of shops , restaurants , etc Just make sure you 're near a tube station if you do n't drive"
transit-location,206.0,Positive,LOCATION1,"LOCATION1 is fine - plenty of shops , restaurants , etc Just make sure you 're near a tube station if you do n't drive"
safety,207.0,Negative,LOCATION1,I liv in tower hamlets in LOCATION1 which is a place where a lot of violence happens wiv gangs e
general,209.0,Positive,LOCATION1,LOCATION1 probably will be better than LOCATION1
general,210.0,Positive,LOCATION1,"there are good places in LOCATION1 , it is not only a very exciting place to live but there is very good transportation routes available"
live,210.0,Positive,LOCATION1,"there are good places in LOCATION1 , it is not only a very exciting place to live but there is very good transportation routes available"
transit-location,210.0,Positive,LOCATION1,"there are good places in LOCATION1 , it is not only a very exciting place to live but there is very good transportation routes available"
shopping,210.0,Positive,LOCATION1,"there are good places in LOCATION1 , it is not only a very exciting place to live but there is very good transportation routes available"
touristy,210.0,Positive,LOCATION1,"there are good places in LOCATION1 , it is not only a very exciting place to live but there is very good transportation routes available"
general,212.0,Positive,LOCATION1,LOCATION1 is an interesting area especially near Camden Town Lock
transit-location,215.0,Positive,LOCATION1,I live in LOCATION1 which is a short train ride away from central London and across the Thames from LOCATION2 and is full of history
general,217.0,Positive,LOCATION1,"LOCATION1 is quite far up North and at the border , so that may be a pain location wise but it is also a pleasant area"
transit-location,217.0,Negative,LOCATION1,"LOCATION1 is quite far up North and at the border , so that may be a pain location wise but it is also a pleasant area"
general,218.0,Positive,LOCATION1,I really suggest LOCATION1
transit-location,219.0,Positive,LOCATION1,LOCATION1 now has a tram system so transport should be even better
quiet,219.0,Positive,LOCATION1,LOCATION1 now has a tram system so transport should be even better
shopping,219.0,Positive,LOCATION1,LOCATION1 now has a tram system so transport should be even better
touristy,219.0,Positive,LOCATION1,LOCATION1 now has a tram system so transport should be even better
general,220.0,Positive,LOCATION1,I would advise you a nice area in LOCATION2 called LOCATION1
general,220.0,Positive,LOCATION1,I would advise you a nice area in LOCATION2 called LOCATION1
transit-location,222.0,Positive,LOCATION1,"try LOCATION1 in NW London onj the Jubilee Line , there are some 'cheaper ' type rooms to rent there"
price,222.0,Positive,LOCATION1,"try LOCATION1 in NW London onj the Jubilee Line , there are some 'cheaper ' type rooms to rent there"
general,222.0,Positive,LOCATION1,"try LOCATION1 in NW London onj the Jubilee Line , there are some 'cheaper ' type rooms to rent there"
shopping,222.0,Positive,LOCATION1,"try LOCATION1 in NW London onj the Jubilee Line , there are some 'cheaper ' type rooms to rent there"
transit-location,223.0,Positive,LOCATION1,LOCATION1 may be an option - it 's not as overly expensive as richmond and still within a reach
price,223.0,Positive,LOCATION1,LOCATION1 may be an option - it 's not as overly expensive as richmond and still within a reach
shopping,223.0,Positive,LOCATION1,LOCATION1 may be an option - it 's not as overly expensive as richmond and still within a reach
touristy,223.0,Positive,LOCATION1,LOCATION1 may be an option - it 's not as overly expensive as richmond and still within a reach
general,225.0,Positive,LOCATION1,LOCATION1 is better though I guess you mean the LOCATION1 area
price,228.0,Negative,LOCATION1,I 've started thinking about moving to LOCATION1 even though its expensive
transit-location,229.0,Negative,LOCATION1,"However , LOCATION1 is not very pleasant , lots of council estates , it is pretty far from the centre , and the transport is terrible"
general,229.0,Negative,LOCATION1,"However , LOCATION1 is not very pleasant , lots of council estates , it is pretty far from the centre , and the transport is terrible"
touristy,229.0,Negative,LOCATION1,"However , LOCATION1 is not very pleasant , lots of council estates , it is pretty far from the centre , and the transport is terrible"
safety,230.0,Positive,LOCATION1,"Statistically , the LOCATION1 area is one of the safest areas in London"
nightlife,231.0,Positive,LOCATION1,"If you are on a budget , people usually stay in the LOCATION1 area which is very popular , and has pretty good nightlife of its own"
price,231.0,Negative,LOCATION1,"If you are on a budget , people usually stay in the LOCATION1 area which is very popular , and has pretty good nightlife of its own"
general,232.0,Positive,LOCATION1,you absolutely have to check LOCATION1 out
transit-location,236.0,Positive,LOCATION1,"I was thinking LOCATION1 , as it 's got excellent links to the London , and is also close to Gatwick"
touristy,236.0,Positive,LOCATION1,"I was thinking LOCATION1 , as it 's got excellent links to the London , and is also close to Gatwick"
transit-location,237.0,Positive,LOCATION1,"Rents in LOCATION1 are still relatively cheap , and you can easily commute to LOCATION2"
price,237.0,Positive,LOCATION1,"Rents in LOCATION1 are still relatively cheap , and you can easily commute to LOCATION2"
touristy,237.0,Positive,LOCATION1,"Rents in LOCATION1 are still relatively cheap , and you can easily commute to LOCATION2"
price,237.0,Positive,LOCATION1,"Rents in LOCATION1 are still relatively cheap , and you can easily commute to LOCATION2"
price,240.0,Negative,LOCATION1,LOCATION1 is very expensive and very posh
shopping,240.0,Negative,LOCATION1,LOCATION1 is very expensive and very posh
touristy,240.0,Negative,LOCATION1,LOCATION1 is very expensive and very posh
general,242.0,Negative,LOCATION1,i live in LOCATION1 and will be moving away from it in july
general,244.0,Positive,LOCATION1,"I would personally recommend the LOCATION1 , in the east of the London"
transit-location,246.0,Positive,LOCATION1,At the centre of London are the LOCATION1 ( historically the seat of the Government ) and the London immediately to the east which was the original core of London
general,247.0,Negative,LOCATION1,just stay away from LOCATION1 I lived in London and worked all over it for several years
live,250.0,Negative,LOCATION1,LOCATION1 is not a nice cheap residential area to live trust me I was born and raised there lol
price,250.0,Negative,LOCATION1,LOCATION1 is not a nice cheap residential area to live trust me I was born and raised there lol
general,250.0,Negative,LOCATION1,LOCATION1 is not a nice cheap residential area to live trust me I was born and raised there lol
shopping,250.0,Negative,LOCATION1,LOCATION1 is not a nice cheap residential area to live trust me I was born and raised there lol
general,253.0,Positive,LOCATION1,LOCATION1 has a special charm
price,255.0,Negative,LOCATION1,LOCATION1 is nothing special but like all of London it is expensive
